,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
candidiasis urogenital,0.8838456075004594,0.40895011831498473,0.14489073137956218,-0.0072068359988017245,0.01393240350275192,0.06255748853562211
cirrosis hepatica,-0.003526176596810718,0.9641034343622046,0.03454660474074765,0.15892779775263272,0.0788310107573451,-0.034369174741561655
cisticercosis,0.636362793041286,0.6545389995198527,0.15587946073915146,0.18935690167413893,-0.04801392753040947,0.05390892955783922
colera,-0.04343613944396482,0.012469364414432456,-0.0007604142318398066,0.5579806840957149,0.07338804047677512,0.21075738730439703
conjuntivitis,-0.010220491927412383,0.04945422033676049,0.07538975473623499,0.06524770726917764,0.020273005768388246,0.13533645687952153
defectos tubo neural,0.023153425938435616,0.9026623973647452,0.009417840648733408,-0.028327212821219618,0.019944491872466653,0.02112594415093713
dengue hemorragico,0.761879797300707,-0.03733292872755578,0.015010847759523766,-0.007146672980650127,0.5549796823574603,0.004627237780712181
desnutricion leve,0.8543901476492841,0.46442206470656555,0.07065116129854884,-0.03593825140036991,0.0939603837744166,0.034799171470283705
desnutricion moderada,0.7205975065665197,0.6537004411852768,0.05558772837527611,-0.05134053522027008,-0.11257270133830391,0.0670031637127714
desnutricion severa,0.7487784848466658,0.5932447893484938,0.23519044157375546,-0.04855953150412928,-0.058837808764694355,0.04680779719007095
diabetes,0.33800238278287814,0.13190756400698792,-0.059429761518621685,0.636060568050621,0.041018094713849935,0.1861171690704681
displasia cervical moderada,0.9236394415334178,0.20762123796543525,0.27269173965587973,-0.020736206283700254,0.06032182775927223,0.011205354487166393
displasia cervical severa,0.8945321204124673,0.35858904126724167,0.190575736477364,-0.0333952119077001,-0.04495224433488522,0.04747236347378898
duodenitis gastritis ulceras,0.8855319026721468,0.3002322046777424,0.3337900514244958,-0.027074443290173777,0.07109852863975032,0.0015467792683936839
efectos asociados vacunas,0.43495727398360967,-0.07163332369421213,0.8179563077619819,-0.0027685937280986766,0.09869555086997693,0.005153888345527466
encefalitis venezolana,0.3224906002028805,0.00011042865762165835,-0.08616723716750654,-0.0007998693200832489,0.059539588867490924,0.02120207513322122
enfermedad alcoholica higado,0.2544182766815139,-0.03251003326474949,-0.05302937105676227,-0.02308751834502954,0.5384004805647756,0.06968636938518255
enfermedad cerebrovascular nueva,0.8326219080988924,0.3089933660911378,0.4314837478007495,0.04076735426145563,0.06977663741357097,0.047052157522946746
enfermedad exantematica febril,0.9158021410161297,0.10022427780799367,0.24090561588185214,0.009687976267160234,0.035250168681090634,0.03516250243707374
enfermedades corazon isquemicas,0.8444991985686435,0.35671364404442657,0.3687786217725075,0.037490177814594496,0.028505967300295275,0.035011254004444534
epilepsia todas formas,-0.04058543774770632,0.013277258713124275,0.0008799356700537184,0.887008820929499,0.0017159919061468165,0.02692438339050786
erisipela,0.14692815950528887,0.7344848780130802,0.5700359160081229,0.08323827152564078,0.0443000884895168,-0.046029928516751015
escarlatina,0.6730631202958439,0.6319754038160402,0.052624211440422106,0.16572989282156617,-0.09589984278785826,0.024955885572668576
espina bifida,0.839906556214236,-0.0822944492794324,0.4559230152485901,-0.0037591913966457647,-0.012131667963616807,0.027556527333485757
estreptococicas faringitis amigdalitis angina,0.6628166115788381,0.367049772812705,0.32395752129735217,-0.01574527526385955,-0.11179556377227541,0.19109179019056788
ferina,0.6433386565246474,0.012401707857073825,0.5932559138932858,0.0014106392146653519,0.36382454098811856,-0.09756682839064564
fiebre amarilla,0.20572486364871403,-0.029527719051385574,-0.04102458118931001,0.022859377888069375,0.06669241345330687,-0.06285465785079722
fiebre dengue clasico,0.5788129057863342,-0.039655626368390595,0.3494934658748922,-0.009937957584802766,0.5036177512206897,0.081713793316318
fiebre manchada,0.5335301069457484,-0.0785285168528482,0.1526231172851899,-0.0010345192919359097,0.5336070715305579,-0.01634002444692481
fiebre recurrente,0.6577193695755764,-0.07718088528130335,-0.17081849435343388,0.008188622222421168,0.4899910836106714,-0.01736200879233964
fiebre reumatica,0.6480399586835265,0.6642923798031434,0.30657499839312,0.04337162566464369,-0.01452010294631495,0.10518041501185768
fiebre tifoidea,0.869236794324509,0.002201833901414565,0.3148187135701963,0.004802171917076434,0.2318343803609021,0.011465432654082161
giardiasis,0.6703729907836564,0.6992262421726405,0.019423202893155894,0.07486230058164832,-0.1289934336681281,0.1094135637854226
gingivitis periodontal,0.6780856570976896,-0.07789813597428695,0.6917786619593141,-0.005118886802247822,0.11093353977025217,-0.007896364830299157
haemophilus influenzae,0.4519525912081195,0.6380017725457428,-0.08635844143718316,-0.02329329436028405,-0.21699218253497785,0.06768560157835747
helmintiasis,0.7244871799426638,0.659663070548491,0.02195746056780072,-0.02000674467386141,-0.050289837395844396,0.08505484169119343
hepatitis virica,0.8652854172149892,0.15353433279851778,0.3961971351873609,-0.016188005473722532,0.14674050395809024,-0.002671147631354127
hepatitis-a aguda,0.889995765073045,0.40666997633515606,0.0654155614392283,0.0350848614312354,0.08767775880375009,0.016460276312439386
hepatitis-b aguda,0.8497370801985615,0.35679342249116897,0.2886618430722652,0.05084329099022958,0.05167252928170132,0.0516591166764636
herpes genital,0.5376320867499468,0.5390601435538661,0.6082403096160193,-0.014507256799611096,0.07597672833423796,0.08547294607611235
hipertensivos embarazo,0.23852001085307953,0.2848876984835767,0.9194976637452128,-0.03235213468008242,0.0004102883754314664,-0.04099058970105245
infeccion asintomatica,0.7174680055198144,0.18060293629376944,0.5858632562216906,0.001987874212700762,0.05683061487761529,-0.01184301589630224
infeccion intestinal definida,0.8210993065024944,0.4348388093902663,0.19110568564280936,-0.006559889912564246,-0.06267955496044803,0.11011151912209884
infeccion tracto genitourinario gonococica,0.33366207598969766,0.36431916900051625,0.5796958750672931,0.15233164658536846,0.05510512142288405,0.4970066472264482
infeccion vias urinarias,0.8437332363792842,0.26304652892420977,0.4484719721412522,-0.027972981635075993,0.09805138485947774,0.0039003492824896922
infecciones intestinales definidas,0.8504200146021952,0.35613502132630853,0.3658980510126588,0.013055976755848362,0.07463966136580966,0.01978540118713497
infecciones respiratorias agudas,0.8111376102087475,0.4019283688151965,0.34840932476335756,-0.02366502404790983,0.015691446798797887,0.04082931250460768
influenza,0.1135421831003931,-0.0351602000699495,0.575823178259972,-0.03183839632933344,-0.026069389466853023,0.17124810502630103
insuficiencia venosa periferica,0.20532333383898732,0.5813120930674032,0.7625823277066099,-0.043058906374002205,0.012626431944170853,-0.10047586677130818
intoxicacion alcohol aguda,0.869412592559904,0.25387228287331576,0.27728732438560066,-0.020973158364658115,-0.0006292602113585862,0.009983408351265051
intoxicacion alimetaria bacteriana,0.8886550316447408,0.22723490824616563,0.25993014086139943,0.03589968009404274,0.09248540106983479,0.09734559926792115
intoxicacion picadura alacran,0.8288399608156144,0.2405358008848376,0.3824646407399026,-0.017222786212842515,0.11396501771713276,0.04307842232446719
intoxicacion plaguicidas,0.853733451335638,0.27181894714634236,0.3090737597108986,0.04667368609932392,0.11254621613409528,0.10687009803985083
intoxicacion ponzona animales,0.8481906898083278,0.39058949424376543,0.25975996197083784,0.04794451513144333,0.06348055930398971,0.04050807818521592
labio hendido paladar,0.9514312415623355,-0.0509849511301572,0.1570654409910949,-0.005216675906113225,0.03659585092791483,0.07310690472469272
leishmaniasis,0.6078849701525566,0.45796328374982564,-0.17200346534154579,-0.030613751875201347,0.05614509387045205,0.2035065390841173
lepra,0.744560879944763,0.5427415266894183,0.18787556264553215,0.025008753535341027,0.006244962864581596,0.05555584282337122
leptospirosis,0.6941417576635782,-0.004237570251857324,0.21677758327793928,0.00013850318693883426,0.36598324392462034,-0.04683752775461462
linfogranuloma venereo,0.7709705715618682,0.3412857909609398,0.369666792828878,0.0015732113855818723,0.1068010803787365,0.2099484029726082
meningitis,0.8516180631330467,0.054672435898892674,-0.03892525024433181,0.05203915194421287,-0.13899446849591596,0.16578662746532874
meningitis nuevos,0.8838109991038917,0.3042490347558343,0.14374652411636457,0.03632283906850626,-0.06686350458337127,0.12079964754423944
meningoencefalitis primaria,0.3982484073268828,0.1511206908449362,0.058469457935802674,0.01904821429554034,-0.07842165830947945,0.11896854536459125
mordeduras,0.8248364911811552,0.34200221925316726,0.37019034319928273,-0.03235173864093066,0.12222136864716027,0.022100575288376077
mordeduras mamiferos otros,0.9368251363461925,-0.05827109937038399,0.31756305653478123,-0.009467093736060734,-0.03311659768439688,0.08393831246730776
mucopurulenta conjuntivitis,0.5943135650078504,0.03684116866694879,0.7121632022591827,-0.01567176046206043,0.03389389405536733,0.00821392128429807
murino tifo,0.36827616405716873,-0.0464369112240115,0.6003791659301668,0.026195282661317043,0.15689928134170916,-0.1729931919902436
neumonias bronconeumonias,0.8153854572397472,0.4308368898962943,0.3184855362597486,0.0073713987410886275,0.041338713493079576,0.060098274537079104
obesidad nuevos,0.2376860508004759,-0.05802747462592977,0.9574533681207181,-0.01285106978580372,-0.046173750030845534,0.0005944499671799588
oncocercosis,0.06296479946374267,0.14550893311747554,-0.029459454924702203,0.08723063016645993,0.028757870160534164,0.4488640189833317
otitis aguda media,0.8549322120864614,0.3171211863573528,0.3844957976783846,-0.028574602889451208,0.01131287551427048,0.0670732534396453
otras hepatitis,0.8496505694925693,0.43240116055485167,0.18138360895252234,0.01656066880594773,-0.04000694328021016,0.07735920946661126
otras tuberculosis,0.7963982912745865,0.2313783081749763,0.524941197070042,0.03737753885113895,0.12670743261166895,0.04510135872539583
oxiuriasis,0.3994247362533814,0.8927758672785759,0.07317485296425137,-0.025652084910694956,0.00613857801574218,0.0820697153388268
paludismo,0.14913632315020117,0.5975794682582196,-0.04823366238658366,-0.0094733090584212,-0.10513698201034563,0.30717114976528537
paralisis flacida aguda,0.8293730382985178,0.19372502524787472,0.46053452006251083,0.025987377534673888,0.09032221386206586,0.046697053799553835
parasitosis intestinales,0.8566270007838105,-0.08026149407596239,0.3900660876358382,0.0035131790177804403,0.01747688793734859,-0.01310705991161797
parotiditis,0.3696425439250595,0.6484215476390446,0.12020171245163978,0.30755146970253877,-0.019680911364541476,0.2538757871263538
pinto,0.2446375417643514,-0.05299102696501883,0.917072225384403,0.010830541800343443,0.0076878483273947725,0.03429070497493204
poliomielitis,0.28984936057172145,0.016556990265366528,-0.10009702662866866,-0.011333347121124259,-0.2602739666242124,0.10823233139056479
quemaduras,0.8236683476129675,0.4009074006054716,0.368635181879361,-0.029204220838556883,0.08174215085275943,-0.02354359044763023
rabia,0.07979741485208977,0.5380902389586949,-0.02407779402195483,0.3525463597107256,-0.062053131373929045,0.1914079786941495
rubeola,-0.00686107662577448,0.4784807307510056,-0.011470468660638446,0.5533571646205215,-0.01423115319373523,0.10248304248352154
rubeola congenita,0.24504766641120102,0.5521330030271564,-0.05860122781190574,-0.032952641014315276,-0.2248991435688579,0.05922016246310025
salmonelosis,0.8220805946528434,0.30118011010597523,-0.22739527403395943,0.053857350431191775,0.0874536253127086,0.11914267785591344
sarampion,0.38868388573835927,0.2381378830016996,-0.1369217272743736,0.01244923537448095,-0.41114090643295814,0.16427943111262605
sarna escabiasis,0.7273732246887077,0.36849147912943575,0.5041695603192232,0.028946167614589267,-0.004150149025063399,0.10596773048956111
serpiente mordedura,0.887301551091296,-0.06575821379416663,0.39756426837428416,-0.01252602400839013,0.07282033280261767,0.07172547697739359
shigelosis gelosis,0.6192997711358523,0.7153313141195619,-0.046099390884531126,0.02421657128960618,-0.07912464547665657,0.17235697027318408
sida,0.8687547258266509,0.0344323364701028,0.3989466365818002,0.07374988188085854,0.11339835935316873,0.0017181333904536195
sifilis adquirida,0.6802203706660405,0.13464618329785016,0.6685104386071309,-0.010130474260538485,0.09237920343926527,0.12426882285294256
sifilis congenita,0.5376362881356103,0.15467386749442608,0.6186957982329327,-0.03099031012748816,-0.09601197030953466,0.18753685086307612
sindrome coqueluchoide,0.7704118561385459,0.04828526437699965,0.32939939390387013,-0.0019823866122617912,0.43116742475465514,-0.040066196980566834
tabaquismo,-0.01605940915701102,0.002913135533554412,-0.0056366370640009746,0.5870421051712957,-0.032470479653619266,-0.11917730193577326
teniasis,0.38394710810461513,0.5216519734436853,0.028306295427923654,0.3104986034321293,0.026176135835480157,0.36078522663103624
tetanos,0.6333996852906159,0.6626426275237393,0.08770093934084941,0.04462023997933704,-0.10899653838649258,0.18475310462180133
tetanos neonatal,0.13926596481079756,0.4788629256581565,0.009684846775574317,0.3614582034838359,-0.00926756833504488,0.41715026859762555
toxoplasmosis,0.1947233540264262,0.5429111210960504,0.7590553012100222,-0.02956399631334664,0.051082860412057216,-0.02189100285672754
tracoma,0.2537520930630594,-0.028861822984631264,0.14866507843715945,0.0773111502692756,0.48606906735417615,0.18038167433807203
trafico accidentes ncop,-0.007787974093014284,0.00845203626913046,-0.005529410153620698,0.6491149168911049,-0.018834251194827775,-0.06287576787774751
tricomoniasis urogenital,0.831291347303775,0.515594630215625,-0.016480314553699443,0.020757713336699075,-0.007954443856282982,0.06392991909230442
tripanosomiasis,0.7789334747154903,0.028497475080978777,0.15490942168428054,0.014687166684689626,0.31064267747561297,-0.1298605052219837
triquinosis,0.07363882172067615,0.8203817461579371,0.2778456690774319,-0.051801964461366146,0.0451627744208225,-0.03565188902587937
tuberculosis aparato respiratorio,0.8189163839634135,0.3371018068414775,0.41726199549479803,0.012680568870749469,0.09839315472309754,0.11119347582284661
tuberculosis nuevos,0.753226092366733,0.08770565860358549,0.5997611756340926,0.012991834069005786,0.11176476077126339,0.0684312806465872
tuberculosis tumor maligno,0.026967214225141412,0.950925701587101,0.044454684871509734,-0.05231080571578909,0.06528031971042436,-0.12568144559308486
tumor maligno estomago,0.028003472107396208,0.9486498567851225,0.044250787981041144,-0.05335042400626222,0.06766204997749348,-0.12509937674760455
varicela,0.8895066378886104,0.40642975854703883,0.0777262330457862,0.046326048656296616,-0.05622626586401589,0.011339898058825418
violencia intrafamiliar,0.6330860430414983,-0.020345375909056912,0.6844946347780522,-0.007563264053097108,0.26289163867114923,-0.045763074274931925
virus papiloma humano,0.8828504900664761,0.11255375012356769,0.34253987117308676,-0.007827141957188666,0.2162841983041675,-0.0466396784958227
